commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_0-sf1800,1,1,1,true,V4_0Engine,stockfish-1800,0-1,checkmate,66,0,33,33,109359,1031338,3313.909090909091,31252.666666666668,93.99437575757575,103.04737878787878,6704.1667,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,2,1,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,69,0,35,34,1083585,147402,30959.571428571428,4335.35294117647,100.65697714285712,107.35038823529413,7332.3754,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,3,2,1,true,V4_0Engine,stockfish-1800,1/2-1/2,claimable_draw,157,0.5,79,78,539479,5226053,6828.848101265823,67000.67948717948,105.7280670886076,95.96901923076922,16072.4994,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,4,2,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,83,0,42,41,1165578,149064,27751.85714285714,3635.7073170731705,102.24131904761907,104.71164390243905,8710.9628,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,5,3,1,true,V4_0Engine,stockfish-1800,1-0,checkmate,97,1,49,48,225611,2399430,4604.306122448979,49988.125,104.70907959183674,99.97584791666665,10117.5474,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,6,3,1,false,stockfish-1800,V4_0Engine,1/2-1/2,claimable_draw,177,0.5,89,88,3688545,452782,41444.32584269663,5145.25,102.42847977528086,107.79938181818184,18977.2531,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,7,4,1,true,V4_0Engine,stockfish-1800,1/2-1/2,claimable_draw,152,0.5,76,76,458917,5509556,6038.381578947368,72494.15789473684,104.18964473684213,101.82541052631579,15884.5724,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,8,4,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,43,0,22,21,588966,83432,26771.18181818182,3972.9523809523807,102.42774545454546,102.9709238095238,4510.0599,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,9,5,1,true,V4_0Engine,stockfish-1800,0-1,checkmate,48,0,24,24,79688,1138092,3320.3333333333335,47420.5,95.82747083333332,103.18711250000001,4865.3621,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,10,5,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,169,0,85,84,6025592,509234,70889.31764705882,6062.309523809524,95.47545294117647,106.26008333333334,17306.3755,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,11,6,1,true,V4_0Engine,stockfish-1800,1-0,checkmate,83,1,42,41,172301,1910782,4102.4047619047615,46604.439024390245,105.86177619047616,100.0673756097561,8705.7911,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,12,6,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,47,0,24,23,781301,101941,32554.208333333332,4432.217391304348,97.41831666666667,105.44432608695654,4871.601,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,13,7,1,true,V4_0Engine,stockfish-1800,1/2-1/2,claimable_draw,30,0.5,15,15,56496,422182,3766.4,28145.466666666667,93.33594666666666,103.23401333333334,3000.0688,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,14,7,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,49,0,25,24,789132,88171,31565.28,3673.7916666666665,102.541952,109.21594166666665,5267.8046,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,15,8,1,true,V4_0Engine,stockfish-1800,1/2-1/2,max_plies,200,0.5,100,100,527245,7527199,5272.45,75271.99,108.90502400000004,101.90527199999998,21413.598,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,16,8,1,false,stockfish-1800,V4_0Engine,1-0,checkmate,63,0,32,31,1028797,124734,32149.90625,4023.6774193548385,102.89252499999999,95.09750967741934,6359.2076,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,17,9,1,true,V4_0Engine,stockfish-1800,1-0,checkmate,69,1,35,34,167560,1557510,4787.428571428572,45809.117647058825,98.93393714285716,98.58415294117648,6951.474,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_0-sf1800,18,9,1,false,stockfish-1800,V4_0Engine,0-1,checkmate,90,1,45,45,2045662,278075,45459.15555555555,6179.444444444444,99.53034222222225,105.34343333333334,9329.6645,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
